GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,edu.nmsu.cs.scoring,RacingScore2,4,144,9,19,2,37,9,9,0,4
JaCoCo Ant Example,edu.nmsu.cs.scoring,RacingScore1,0,98,0,6,0,30,0,7,0,4
